Days_to_Departure,One-way Morning Economy,One-way Afternoon Economy,One-way Evening Economy,Roundtrip Morning Economy,Roundtrip Afternoon Economy,Roundtrip Evening Economy,One-way Morning Business,One-way Afternoon Business,One-way Evening Business,Roundtrip Morning Business,Roundtrip Afternoon Business,Roundtrip Evening Business,One-way Morning First Class,One-way Afternoon First Class,One-way Evening First Class,Roundtrip Morning First Class,Roundtrip Afternoon First Class,Roundtrip Evening First Class,Average
0,227,227,227,423,423,423,366,366,366,741,721,671,386,336,366,721,721,721,468.4444444
1,227,227,227,423,423,423,386,386,386,721,741,741,386,386,386,721,741,741,481.7777778
2,227,227,227,423,423,423,386,386,386,651,721,721,386,386,386,721,721,721,473.4444444
3,197,197,197,338,338,338,386,356,356,671,651,651,356,356,356,701,651,651,430.3888889
4,197,197,197,338,338,338,356,356,356,671,671,671,356,356,356,671,671,671,431.5
5,197,197,197,338,338,338,356,356,356,651,671,671,356,356,356,671,671,671,430.3888889
6,197,197,197,338,338,338,336,336,336,611,651,651,336,336,336,671,651,651,417.0555556
7,142,142,142,338,338,283,296,296,296,631,651,611,296,296,296,651,611,611,384.8333333
8,142,142,142,283,338,283,316,316,316,611,611,631,316,316,316,611,631,631,386.2222222
9,142,142,142,283,283,283,316,316,316,676,631,611,316,316,316,611,611,611,384.5555556
10,244,244,211,283,283,320,414,414,381,664,611,644,414,414,381,713,676,644,441.9444444
11,211,211,211,352,352,320,381,414,381,598,631,644,381,414,381,668,676,664,438.3333333
12,142,142,142,320,352,250,316,316,316,578,696,598,316,316,316,598,598,598,383.8888889
13,142,142,142,250,250,250,296,296,296,545,598,578,296,296,296,578,578,578,355.9444444
14,109,109,142,250,217,217,263,263,263,565,578,545,263,263,263,578,545,545,332.1111111
15,109,109,109,217,217,217,283,283,283,545,545,565,283,283,283,545,565,565,333.6666667
16,109,109,109,217,217,217,283,283,283,545,565,545,283,283,283,545,545,545,331.4444444
17,109,142,211,217,220,290,283,316,414,542,545,673,283,316,414,542,575,673,375.8333333
18,215,215,215,187,293,293,388,388,388,647,647,647,288,388,388,615,647,647,416.4444444
19,132,142,109,293,220,187,316,316,283,575,575,575,316,316,316,575,575,575,355.3333333
20,109,109,109,211,187,187,263,263,263,522,522,522,263,263,263,522,522,522,312.3333333
21,79,79,109,187,157,157,260,260,260,519,519,519,260,260,260,522,519,519,302.5
22,79,79,79,157,157,157,260,260,260,519,519,519,260,260,260,519,519,519,299
23,79,99,79,157,177,157,260,260,260,519,519,519,260,260,260,519,519,519,301.2222222
24,142,124,124,157,202,202,296,278,296,555,537,555,296,278,296,595,537,555,334.7222222
25,197,227,197,220,305,275,366,366,336,625,625,595,336,366,336,595,625,595,399.2777778
26,132,99,79,275,197,177,299,260,260,558,558,519,299,299,260,617,617,578,337.9444444
27,79,79,79,231,177,177,260,260,260,578,578,578,260,260,260,519,519,519,315.1666667
28,79,128,79,177,226,177,260,288,260,519,548,519,260,288,260,519,548,519,314.1111111
29,79,79,79,177,157,157,260,260,260,519,519,519,260,260,260,519,519,519,300.1111111
30,79,79,79,157,157,157,260,260,260,519,519,519,260,260,260,608,608,608,313.8333333
31,79,79,79,157,225,225,260,260,260,566,566,566,260,260,260,621,621,621,331.3888889
32,135,215,154,225,458,398,304,368,324,665,729,685,304,368,368,660,660,699,428.8333333
33,79,79,132,346,331,384,260,260,299,667,667,706,260,260,299,660,660,699,391.5555556
34,79,79,79,331,326,326,260,260,260,660,660,660,260,260,260,627,627,627,368.9444444
35,79,79,79,326,233,233,260,260,260,627,627,627,260,260,307,548,548,566,343.2777778
36,79,79,132,283,225,279,260,260,299,548,548,587,260,260,299,708,708,747,364.5
37,137,99,157,225,302,361,309,309,330,757,757,778,309,309,330,569,569,589,399.7777778
38,200,221,154,340,326,233,439,439,368,698,698,627,439,439,368,718,718,647,448.4444444
39,135,154,154,376,233,233,324,324,324,583,603,603,304,324,324,603,603,603,378.1666667
40,79,99,79,213,235,215,260,260,260,539,539,539,260,260,260,539,539,539,317.4444444
41,79,79,79,215,213,213,260,260,260,539,539,539,260,260,260,539,539,539,315.1111111
42,99,99,174,213,177,314,260,260,307,539,539,586,260,260,307,539,539,586,336.5555556
43,79,147,174,177,225,360,280,327,447,559,606,726,280,327,447,654,586,706,394.8333333
44,219,252,229,157,331,331,394,428,428,654,687,687,394,428,459,654,687,706,451.3888889
45,248,229,229,297,376,436,421,459,459,680,687,687,421,459,459,680,706,706,479.9444444
46,252,265,177,331,378,331,428,459,368,654,687,687,459,459,428,680,706,687,468.6666667
47,211,206,142,290,290,290,381,381,381,641,641,641,381,381,381,641,641,641,420.0555556
48,124,124,124,202,202,202,278,278,278,537,537,537,278,278,278,537,537,537,326
49,79,79,124,157,157,202,260,260,278,519,519,537,260,260,278,519,519,537,308
50,79,79,142,157,157,220,260,260,336,519,519,595,260,260,336,519,519,595,322.8888889
51,79,79,142,157,157,220,260,260,260,519,519,519,260,260,260,519,519,519,306
52,142,142,197,157,157,275,296,260,336,555,595,595,296,336,336,555,595,595,356.6666667
53,197,197,197,220,220,275,336,366,336,595,625,595,336,366,336,595,625,595,389.5555556
54,124,124,142,275,275,220,278,278,296,537,519,555,278,260,296,537,519,555,337.1111111
55,79,79,79,202,202,157,260,260,260,519,519,519,260,260,260,519,519,519,304
56,79,79,79,157,157,157,260,260,260,519,519,519,260,260,260,519,519,519,299
57,79,79,142,157,157,220,260,260,296,519,519,555,260,260,296,519,519,555,314
58,79,79,79,157,157,157,260,260,260,519,519,519,260,260,260,519,519,519,299
59,79,79,79,157,157,157,260,260,260,519,519,519,260,260,260,519,519,519,299
60,99,179,197,177,157,275,260,336,336,519,595,595,278,336,336,519,595,595,354.6666667
61,124,124,124,202,275,202,278,278,278,537,537,537,260,278,278,537,537,537,329.0555556
62,79,79,79,177,202,177,260,260,260,519,519,519,260,260,260,519,519,519,303.7222222
63,79,79,124,177,177,222,260,260,278,519,519,537,260,260,278,519,519,537,311.3333333
64,79,79,174,177,157,275,260,260,336,519,519,595,260,260,336,519,519,519,324.6111111
65,79,79,124,157,157,202,260,260,278,519,519,537,260,260,278,519,519,537,308
66,99,79,79,157,220,157,260,296,260,537,555,519,278,296,260,537,555,595,318.8333333
67,124,142,142,177,220,220,278,296,336,537,555,595,278,296,336,537,555,537,342.2777778
68,99,142,142,202,177,220,260,260,296,519,519,555,260,260,296,519,519,519,320.2222222
69,79,79,79,177,157,157,260,260,260,519,519,519,260,260,260,537,537,537,303.1111111
70,79,79,124,157,177,222,260,260,296,537,537,573,260,260,296,519,519,555,317.2222222
71,79,99,174,177,177,275,260,278,336,519,537,595,260,278,336,519,537,595,335.0555556
72,124,124,142,157,202,220,278,278,336,537,537,595,278,278,336,537,537,595,338.3888889
73,124,99,142,202,177,220,278,260,296,555,519,555,296,260,296,593,537,593,333.4444444
74,79,142,188,202,260,315,260,296,336,557,593,633,260,336,336,509,585,585,359.5555556
75,124,124,142,197,222,240,278,278,296,527,527,545,278,278,296,527,527,545,330.6111111
76,79,79,79,222,157,157,260,260,260,509,509,509,260,260,296,509,509,509,301.2777778
77,79,124,157,157,202,275,260,278,336,509,527,585,260,278,336,547,527,585,334.5555556
78,79,197,142,157,320,265,298,356,386,547,605,635,298,356,386,499,605,635,375.8888889
79,124,213,153,202,291,220,270,385,386,499,634,517,250,385,341,608,605,517,366.6666667
80,191,147,196,202,220,282,349,307,341,598,598,598,349,349,349,527,634,608,380.2777778
81,124,208,149,282,286,228,250,355,349,572,614,572,313,355,313,641,614,527,375.1111111
82,211,211,194,202,290,290,381,381,381,641,641,641,381,381,381,595,641,641,415.7777778
83,174,175,142,290,275,220,336,336,296,595,595,527,336,336,296,509,595,527,364.4444444
84,79,124,124,275,202,202,260,278,250,509,509,509,250,250,250,519,509,509,311.5555556
85,79,79,142,157,157,220,260,260,336,519,519,595,260,260,336,519,509,595,322.3333333
86,79,79,124,157,157,202,260,260,278,519,519,537,260,260,278,537,519,537,309
87,124,124,79,202,202,157,278,278,260,537,537,519,278,278,260,519,537,519,316
88,79,142,172,157,220,275,260,296,336,519,555,595,260,296,336,537,555,595,343.6111111
89,99,124,79,137,202,157,260,278,260,519,537,537,260,278,260,537,555,537,312
90,79,79,79,157,157,157,260,260,260,537,537,519,260,260,260,537,537,537,304
91,79,79,79,202,202,202,260,260,260,537,537,537,260,260,260,537,537,537,312.5
92,79,142,172,157,220,275,260,296,336,537,573,613,260,260,336,519,537,537,339.3888889
93,124,124,124,202,202,202,278,278,278,537,537,537,278,296,278,537,537,537,327
94,124,142,79,202,202,157,278,278,278,537,537,537,278,278,278,557,557,557,325.3333333
95,79,124,79,202,220,157,278,296,278,557,575,557,278,278,278,567,585,567,330.8333333
96,119,124,79,157,202,157,278,278,278,567,567,567,278,278,278,562,562,562,327.3888889
97,79,79,79,197,157,157,260,260,260,544,544,544,260,260,260,549,549,562,311.1111111
98,79,79,79,157,157,157,260,260,260,549,549,549,260,260,260,539,539,549,307.8888889
99,79,79,79,157,157,157,280,280,280,549,559,549,280,280,280,539,539,539,314.5555556
100,79,129,79,157,207,157,290,290,290,544,549,544,290,290,290,549,549,539,323.4444444
101,124,124,79,202,202,157,285,285,285,544,553,544,285,294,285,564,573,564,330.5
102,79,132,79,157,211,157,290,299,290,569,598,569,290,318,290,579,608,579,338.5555556
103,79,119,79,157,197,157,280,280,280,569,569,569,280,280,280,592,592,592,330.6111111
104,79,79,79,228,228,228,260,260,260,572,572,572,260,280,260,558,558,558,327.2777778
105,79,79,79,211,211,211,260,260,260,558,558,558,260,260,260,539,539,539,317.8333333
106,79,119,128,197,237,246,280,280,288,559,559,568,280,280,288,539,539,548,334.1111111
107,129,129,79,207,207,157,290,290,290,549,555,549,290,296,290,567,573,567,334.1111111
108,149,130,130,248,229,229,313,294,294,590,571,571,313,294,294,592,573,573,354.8333333
109,211,211,132,330,330,251,361,361,299,641,641,578,361,361,299,662,662,600,405.0555556
110,79,128,79,212,261,212,280,288,280,581,589,581,280,288,280,529,538,529,334.1111111
111,79,99,79,202,222,202,260,260,260,509,509,509,260,260,260,627,627,627,325.0555556
112,79,79,79,220,220,220,260,260,260,627,627,627,260,260,349,509,509,509,330.7777778
113,79,204,79,177,302,302,280,349,349,529,627,598,260,349,365,529,598,598,365.2222222
114,213,246,204,311,344,311,365,397,365,614,598,614,365,397,250,614,647,614,414.9444444
115,210,290,213,288,368,177,358,438,250,640,647,499,390,438,324,640,688,499,408.7222222
116,99,215,99,177,293,220,250,468,324,499,617,517,250,368,324,499,617,517,352.9444444
117,99,124,154,222,247,202,250,250,250,499,499,499,250,250,250,517,517,517,310.8888889
118,99,99,79,306,306,306,250,296,250,517,535,517,250,296,250,637,655,517,342.5
119,152,152,99,356,356,338,338,338,250,655,655,637,338,338,250,547,547,637,387.9444444
120,124,99,124,242,217,242,270,270,250,529,529,529,250,250,250,509,509,529,317.8888889
121,210,151,124,242,220,157,378,335,250,638,527,509,378,335,250,638,527,509,354.3333333
122,149,208,79,288,286,177,333,375,250,634,634,509,375,375,250,654,654,509,374.3888889
123,79,215,99,220,293,233,310,388,344,589,667,623,310,388,344,599,677,529,383.7222222
124,119,204,154,157,282,157,280,349,280,569,638,569,280,349,280,564,633,633,360.9444444
125,79,79,79,197,157,157,260,260,260,544,544,544,260,260,260,578,578,564,314.4444444
126,79,79,79,157,230,230,260,260,260,578,578,578,260,260,260,539,539,578,322.4444444
127,79,79,79,230,157,206,280,280,288,559,559,568,280,280,288,539,539,539,323.8333333
128,129,1511,128,157,229,207,290,315,290,549,575,549,290,315,290,549,575,548,416.4444444
129,149,208,129,207,286,157,313,355,285,572,553,544,313,294,285,592,573,549,353.5555556
130,79,211,79,228,290,211,290,361,299,569,641,578,290,361,299,579,651,564,365.5555556
131,79,119,132,157,197,157,280,280,280,569,569,569,280,280,280,592,592,588,333.3333333
132,79,79,79,157,286,286,260,260,260,572,572,572,260,260,260,578,578,592,332.7777778
133,79,79,79,226,211,211,260,260,260,578,578,578,260,260,260,539,539,578,324.1666667
134,79,79,79,211,197,237,280,280,280,559,559,559,280,280,280,539,539,539,325.3333333
135,131,131,119,197,210,157,296,296,290,555,555,549,296,296,290,555,539,549,333.9444444
136,149,149,79,210,228,157,313,313,285,572,572,544,313,313,285,592,592,564,346.1111111
137,79,132,79,228,211,157,290,299,290,569,578,569,290,299,290,579,588,579,339.2222222
138,79,79,79,157,207,207,280,280,280,569,569,569,280,280,280,592,592,592,331.7222222
139,79,79,79,207,228,228,260,260,260,572,572,572,260,260,260,578,578,578,328.3333333
140,79,79,79,228,230,230,260,260,260,578,578,578,260,260,260,539,539,539,324.2222222
141,79,128,147,230,206,225,280,288,307,559,568,586,280,288,260,539,548,566,338
142,129,131,79,157,210,157,290,296,290,549,555,549,290,296,307,549,555,566,330.8333333
143,124,149,79,207,228,157,285,313,285,553,614,544,294,355,290,573,634,549,346.2777778
144,79,152,129,202,230,207,290,318,290,569,598,569,290,318,285,579,608,564,348.7222222
145,79,79,79,157,207,207,280,280,280,569,569,569,280,280,290,592,592,579,331.5555556
146,79,79,79,207,228,228,260,260,260,572,572,569,260,260,280,592,578,592,330.8333333
