Days_to_Departure,One-way Morning Economy,One-way Afternoon Economy,One-way Evening Economy,Roundtrip Morning Economy,Roundtrip Afternoon Economy,Roundtrip Evening Economy,One-way Morning Business,One-way Afternoon Business,One-way Evening Business,Roundtrip Morning Business,Roundtrip Afternoon Business,Roundtrip Evening Business,One-way Morning First Class,One-way Afternoon First Class,One-way Evening First Class,Roundtrip Morning First Class,Roundtrip Afternoon First Class,Roundtrip Evening First Class,Average
0,439,439,439,695,695,695,573,573,573,1023,1003,1023,573,573,573,1023,1023,1023,719.8888889
1,439,439,439,695,695,695,573,573,573,1003,1003,1003,573,573,573,1003,1003,1003,714.3333333
2,439,439,439,516,516,516,573,573,573,874,874,874,573,573,573,874,874,874,641.5
3,439,439,439,746,767,746,573,573,573,1065,1065,1065,573,573,573,1065,1065,1065,744.6666667
4,439,439,439,746,721,746,573,573,573,1065,1065,1065,573,573,573,1065,1065,1065,742.1111111
5,439,323,323,510,510,486,553,553,553,874,874,874,553,553,553,874,874,874,619.6111111
6,299,329,253,337,337,337,473,473,473,745,745,745,473,473,473,745,745,745,511.1111111
7,294,294,253,337,337,337,493,493,493,765,875,765,493,493,493,765,875,765,534.4444444
8,329,294,253,337,337,337,493,493,493,745,745,745,493,493,493,745,745,745,517.5
9,253,253,253,287,287,287,493,493,493,680,680,680,493,493,493,680,680,680,481
10,294,328,253,442,567,520,493,493,493,895,895,895,493,493,493,895,895,895,596.2222222
11,329,279,253,418,438,438,493,493,493,895,895,895,493,493,493,895,895,895,582.3888889
12,247,247,223,337,337,337,473,473,473,745,745,745,473,473,473,745,745,745,502
13,209,204,215,237,237,237,383,383,383,615,615,615,383,383,383,615,615,615,407.0555556
14,215,229,215,237,237,237,403,403,403,635,635,635,403,403,403,635,635,635,422.1111111
15,215,235,235,237,237,237,403,403,403,615,615,615,403,403,403,615,615,615,416.8888889
16,239,239,239,209,209,209,403,403,403,597,597,597,403,403,403,597,597,597,408
17,239,239,239,341,341,341,403,403,403,768,768,768,403,403,403,768,768,768,487
18,239,239,210,337,337,337,403,403,403,754,775,754,403,403,403,754,775,754,482.3888889
19,204,187,167,277,293,293,383,383,383,680,680,680,383,383,383,680,680,680,433.2777778
20,159,181,159,296,378,296,353,383,353,662,765,662,353,383,353,662,765,662,434.7222222
21,159,207,187,217,300,280,353,383,383,585,670,670,353,383,383,585,670,670,413.2222222
22,225,187,167,320,329,260,383,383,383,662,662,662,383,383,383,662,662,662,431
