DaystoDepart,RoundTrip,SeatClass,Time,Price
0,0,0,0,0.310572687
0,0,0,1,0.310572687
0,0,0,2,0.310572687
0,1,0,0,0.592511013
0,1,0,1,0.592511013
0,1,0,2,0.592511013
0,0,1,0,0.45814978
0,0,1,1,0.45814978
0,0,1,2,0.45814978
0,1,1,0,0.953744493
0,1,1,1,0.931718062
0,1,1,2,0.953744493
0,0,2,0,0.45814978
0,0,2,1,0.45814978
0,0,2,2,0.45814978
0,1,2,0,0.953744493
0,1,2,1,0.953744493
0,1,2,2,0.953744493
1,0,0,0,0.310572687
1,0,0,1,0.310572687
1,0,0,2,0.310572687
1,1,0,0,0.592511013
1,1,0,1,0.592511013
1,1,0,2,0.592511013
1,0,1,0,0.45814978
1,0,1,1,0.45814978
1,0,1,2,0.45814978
1,1,1,0,0.931718062
1,1,1,1,0.931718062
1,1,1,2,0.931718062
1,0,2,0,0.45814978
1,0,2,1,0.45814978
1,0,2,2,0.45814978
1,1,2,0,0.931718062
1,1,2,1,0.931718062
1,1,2,2,0.931718062
2,0,0,0,0.310572687
2,0,0,1,0.310572687
2,0,0,2,0.310572687
2,1,0,0,0.395374449
2,1,0,1,0.395374449
2,1,0,2,0.395374449
2,0,1,0,0.45814978
2,0,1,1,0.45814978
2,0,1,2,0.45814978
2,1,1,0,0.789647577
2,1,1,1,0.789647577
2,1,1,2,0.789647577
2,0,2,0,0.45814978
2,0,2,1,0.45814978
2,0,2,2,0.45814978
2,1,2,0,0.789647577
2,1,2,1,0.789647577
2,1,2,2,0.789647577
3,0,0,0,0.310572687
3,0,0,1,0.310572687
3,0,0,2,0.310572687
3,1,0,0,0.648678414
3,1,0,1,0.671806167
3,1,0,2,0.648678414
3,0,1,0,0.45814978
3,0,1,1,0.45814978
3,0,1,2,0.45814978
3,1,1,0,1
3,1,1,1,1
3,1,1,2,1
3,0,2,0,0.45814978
3,0,2,1,0.45814978
3,0,2,2,0.45814978
3,1,2,0,1
3,1,2,1,1
3,1,2,2,1
4,0,0,0,0.310572687
4,0,0,1,0.310572687
4,0,0,2,0.310572687
4,1,0,0,0.648678414
4,1,0,1,0.621145374
4,1,0,2,0.648678414
4,0,1,0,0.45814978
4,0,1,1,0.45814978
4,0,1,2,0.45814978
4,1,1,0,1
4,1,1,1,1
4,1,1,2,1
4,0,2,0,0.45814978
4,0,2,1,0.45814978
4,0,2,2,0.45814978
4,1,2,0,1
4,1,2,1,1
4,1,2,2,1
5,0,0,0,0.310572687
5,0,0,1,0.182819383
5,0,0,2,0.182819383
5,1,0,0,0.38876652
5,1,0,1,0.38876652
5,1,0,2,0.362334802
5,0,1,0,0.436123348
5,0,1,1,0.436123348
5,0,1,2,0.436123348
5,1,1,0,0.789647577
5,1,1,1,0.789647577
5,1,1,2,0.789647577
5,0,2,0,0.436123348
5,0,2,1,0.436123348
5,0,2,2,0.436123348
5,1,2,0,0.789647577
5,1,2,1,0.789647577
5,1,2,2,0.789647577
6,0,0,0,0.156387665
6,0,0,1,0.189427313
6,0,0,2,0.105726872
6,1,0,0,0.198237885
6,1,0,1,0.198237885
6,1,0,2,0.198237885
