Days_to_Departure,One-way Morning Economy,One-way Afternoon Economy,One-way Evening Economy,Roundtrip Morning Economy,Roundtrip Afternoon Economy,Roundtrip Evening Economy,One-way Morning Business,One-way Afternoon Business,One-way Evening Business,Roundtrip Morning Business,Roundtrip Afternoon Business,Roundtrip Evening Business,One-way Morning First Class,One-way Afternoon First Class,One-way Evening First Class,Roundtrip Morning First Class,Roundtrip Afternoon First Class,Roundtrip Evening First Class,Average
0,340,340,340,679,679,679,459,459,459,897,897,897,459,459,459,897,897,897,621.8333333
1,340,340,340,679,679,679,459,459,459,897,897,897,459,459,459,897,897,897,621.8333333
2,340,340,340,569,569,569,459,459,459,837,837,837,459,459,459,837,837,837,583.5
3,340,340,340,569,569,569,459,459,459,837,837,837,459,459,459,837,837,837,583.5
4,340,340,340,569,569,569,439,459,439,817,817,817,439,439,439,817,817,817,571.2777778
5,340,340,340,536,536,536,439,439,439,784,784,784,439,439,379,784,784,784,550.3333333
6,230,230,230,426,426,426,379,379,379,724,724,724,379,439,379,724,724,724,480.3333333
7,230,230,230,426,426,426,379,379,379,704,704,704,379,379,379,704,704,704,470.3333333
8,230,230,230,426,426,426,379,379,379,704,704,704,379,379,379,704,704,704,470.3333333
9,197,247,197,377,377,377,346,346,346,675,675,675,346,379,346,675,675,675,440.6111111
10,247,197,197,377,377,377,396,346,346,675,675,675,396,346,346,675,675,675,444.3333333
11,197,197,197,377,377,377,326,326,326,655,655,655,326,326,326,655,655,655,422.6666667
12,197,197,197,377,377,377,326,326,326,655,655,655,326,326,326,655,655,655,422.6666667
13,181,181,181,361,361,361,330,330,330,659,659,659,330,330,330,659,659,659,420
14,181,181,181,361,361,361,330,330,330,639,639,639,330,330,330,639,639,639,413.3333333
15,181,181,181,361,361,361,330,396,330,639,705,639,330,396,330,639,705,639,428
16,181,197,181,310,326,310,330,346,330,588,604,588,330,346,330,588,604,588,393.1666667
17,211,181,181,310,310,310,330,330,330,588,588,588,330,330,330,588,588,588,389.5
18,181,181,181,299,299,299,376,310,310,557,557,557,376,310,310,557,557,557,376.3333333
19,130,181,177,310,310,310,310,310,310,568,568,568,310,310,310,568,568,568,371.4444444
20,130,130,130,259,259,259,259,259,259,517,517,517,259,259,259,517,517,517,323.5
21,197,130,130,248,248,248,259,259,259,506,506,506,259,259,259,506,506,506,321.7222222
22,162,197,162,315,315,280,326,376,706,573,623,953,326,376,706,573,623,953,474.7222222
23,247,247,162,291,376,291,376,376,291,634,634,549,376,376,291,634,634,584,409.3888889
24,119,130,130,376,259,259,376,259,259,634,517,517,376,259,259,634,517,517,355.3888889
25,119,119,119,237,237,237,248,248,248,495,495,495,248,248,248,495,495,495,307
26,130,119,119,280,280,280,248,248,248,538,538,538,248,248,248,538,538,538,329.1111111
27,130,130,130,259,259,259,259,259,259,517,517,517,259,259,259,517,517,517,323.5
28,119,130,130,248,248,248,259,259,259,506,506,506,259,259,259,506,506,506,317.3888889
29,119,119,119,237,237,237,248,248,248,495,495,495,248,248,248,495,495,495,307
30,130,197,130,291,358,291,259,326,259,549,616,549,259,326,259,549,616,549,361.8333333
