Days_to_Departure,One-way Morning Economy,One-way Afternoon Economy,One-way Evening Economy,Roundtrip Morning Economy,Roundtrip Afternoon Economy,Roundtrip Evening Economy,One-way Morning Business,One-way Afternoon Business,One-way Evening Business,Roundtrip Morning Business,Roundtrip Afternoon Business,Roundtrip Evening Business,One-way Morning First Class,One-way Afternoon First Class,One-way Evening First Class,Roundtrip Morning First Class,Roundtrip Afternoon First Class,Roundtrip Evening First Class,Average
0,189,270,190,$722 ,744,750,397,442,482,1003,1093,1093,547,324,547,1003,1093,1093,665.6666667
1,375,375,375,$722 ,744,750,547,547,547,1003,1093,1093,547,548,547,1003,1093,1093,722.3333333
2,375,375,377,750,750,750,547,547,658,1093,1093,1093,547,547,606,1093,1093,1093,743.7222222
3,186,185,277,546,546,546,358,358,556,904,904,904,358,358,606,904,904,904,572.4444444
4,186,201,201,546,546,546,358,373,373,904,904,994,358,373,358,904,904,994,556.8333333
5,186,0,186,636,636,636,403,0,358,994,996,949,358,0,373,994,996,949,536.1111111
6,186,231,231,591,591,591,322,403,403,949,949,885,403,403,358,949,949,885,571.0555556
7,201,135,195,526,526,526,322,322,367,885,886,868,322,322,3558,885,886,868,700
8,135,135,165,510,510,510,322,322,337,868,868,868,322,322,367,868,868,868,509.1666667
9,135,135,196,510,510,510,322,322,368,868,868,868,322,322,442,868,868,868,516.7777778
10,135,135,384,510,510,510,322,322,556,868,868,883,322,322,556,868,868,883,545.6666667
11,135,195,225,524,524,524,322,367,397,883,883,913,322,367,397,883,883,913,536.5
12,135,165,195,555,555,555,322,337,367,913,913,868,322,337,367,913,913,868,533.3333333
13,135,270,270,510,510,510,397,442,442,868,868,859,397,442,442,868,868,859,553.1666667
14,100,100,189,475,475,485,302,361,361,859,859,859,337,361,367,859,859,859,503.7222222
15,126,115,190,485,485,485,313,302,362,859,859,859,313,313,397,859,859,859,502.2222222
16,111,111,190,485,485,485,313,313,397,859,859,859,313,313,442,859,859,859,506.2222222
17,111,111,384,485,485,485,313,313,556,859,859,859,313,313,556,859,859,859,532.1666667
18,111,189,189,501,501,501,361,361,361,859,859,859,361,361,361,859,859,859,517.3333333
19,189,270,189,501,501,501,482,442,361,859,859,859,482,442,361,859,859,859,548.6111111
20,165,255,120,501,501,475,482,442,482,859,859,879,482,442,482,859,859,879,556.8333333
21,255,161,161,520,520,520,361,333,333,879,879,870,361,333,361,879,879,870,526.3888889
22,161,137,189,512,512,512,324,324,361,870,872,870,324,324,361,870,872,870,514.7222222
23,137,137,138,512,512,512,324,324,402,870,870,879,302,324,402,870,870,879,514.6666667
24,137,161,231,520,520,520,333,333,442,879,879,907,333,333,442,879,879,907,535.2777778
25,161,161,161,549,549,549,333,333,333,907,907,879,333,333,333,907,907,879,528.5555556
26,161,189,137,520,520,520,324,361,310,879,879,907,324,361,324,879,879,907,521.1666667
27,137,189,189,549,549,549,333,361,361,907,907,879,333,361,333,907,907,879,535
28,161,161,161,520,520,520,333,333,333,879,879,870,333,299,333,879,879,870,514.6111111
29,161,137,138,512,512,512,324,324,325,870,870,870,324,324,325,870,870,870,507.6666667
30,137,137,138,512,512,512,324,325,325,870,870,879,324,326,325,870,870,879,507.5
31,137,230,311,520,520,520,333,402,483,879,879,958,333,402,558,879,879,958,565.6111111
32,161,230,270,549,549,549,333,403,442,948,958,958,333,403,305,948,958,958,569.7222222
33,230,230,230,590,590,590,402,402,402,948,958,879,402,402,402,948,958,879,580.1111111
34,161,270,270,520,520,520,333,442,402,879,879,881,333,442,441,879,879,881,551.7777778
35,161,161,161,522,522,522,333,333,441,881,881,870,333,333,361,881,881,870,524.8333333
36,137,137,190,512,512,512,324,324,333,870,870,872,324,324,362,870,870,872,511.9444444
37,137,137,190,513,513,513,324,324,325,872,872,1038,324,324,442,872,872,1038,535
38,161,230,386,630,513,630,383,452,325,1038,1038,988,383,462,608,1038,1038,988,627.2777778
39,161,189,230,630,630,630,333,361,482,988,988,1028,333,361,402,988,988,1028,597.2222222
40,189,230,230,642,630,642,333,402,402,1028,1028,948,361,402,402,1028,1028,948,604.0555556
41,230,270,301,590,642,590,361,482,402,948,948,998,402,482,482,948,948,998,612.3333333
42,137,189,230,590,590,590,402,411,452,998,998,820,374,411,452,998,998,870,583.8888889
43,137,137,230,512,590,512,324,324,402,820,820,870,324,324,402,870,870,870,518.7777778
44,137,161,271,512,512,512,324,333,482,870,870,870,324,333,482,870,870,870,533.5
45,137,270,387,512,512,512,324,442,559,870,870,870,324,442,559,870,870,870,566.6666667
46,189,270,473,512,512,512,361,442,703,870,870,870,361,442,558,870,870,870,586.3888889
47,270,386,568,512,512,512,442,558,572,870,870,870,442,729,572,870,870,870,627.5
48,310,473,361,512,512,512,482,729,539,870,870,870,482,,539,829,829,870,622.8823529
49,215,215,270,512,512,512,402,402,442,870,870,870,402,402,442,870,870,870,552.6666667
50,137,137,231,512,512,512,324,324,441,870,870,870,324,324,441,870,870,870,524.3888889
51,137,137,189,512,512,512,324,324,361,870,870,870,324,324,402,870,870,870,515.4444444
